date;state;category;time;groupname;name;attendees_count;
20/04/2020;San-Francisco;Technology,business;12:00 AM;Product School Bangalore;Webinar: PM in a Startup Setting by Alexa Product Lead;6;
20/04/2020;San-Francisco;Technology,business;7:00 AM;SouJava;Live SouJava- Microservice Patterns - Implemented by Eclipse Microprofile;119;
20/04/2020;San-Francisco;Technology,business;7:30 AM;DevOps | CODE Event Series;enterprise:CODE 2020;10;
20/04/2020;San-Francisco;Technology,business;8:00 AM;DC Cybersecurity Training;Certified CISO;4;
20/04/2020;San-Francisco;Technology,business;8:00 AM;DC Cybersecurity Training;Certified Ethical Hacker (CEH);3;
20/04/2020;San-Francisco;Technology,business;8:00 AM;Software Testing Training Courses (London);A4Q AI & SOFTWARE TESTING;6;
20/04/2020;San-Francisco;Technology,business;8:00 AM;Agile Toulouse;Agile & Coffee (Blagnac);11;
20/04/2020;San-Francisco;Technology,business;8:30 AM;Riyadh Women in Machine Learning & Data Science;Women in Data Science (WiDS) PSU Riyadh,March 2,2020;11;
20/04/2020;San-Francisco;Technology,business;8:30 AM;Paris Android LiveCode;Android Makers Virtual Edition 2020;9;
20/04/2020;San-Francisco;Technology,business;8:30 AM;BeMyApp events - EMEA;ANDROID MAKERS 2020 VIRTUAL EDITION;5;
20/04/2020;San-Francisco;Technology,business;8:30 AM;Agile Baden (CH);Let’s take a mindful moment (weekly 25min mindfulness Mondays 8:30 ZOOM);4;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Agile-Lean Ireland;Agile-Lean Ireland 2020;1;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Advanced KubeFlow AI Meetup (San Francisco, Global);KubeFlow, TFX, GPU/TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit;123;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Design Thinking 💥 Make it KLAP 💥;Formation 1 jour - Vous donner des billes en facilitation - Animer un groupe;9;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Le Wagon Hong Kong - Coding Bootcamp;Fullstack Coding Bootcamp Across the Border from Hong Kong;7;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Adventures with Agile;ONLINE! Enterprise Agility Masterclass (ICP-ENT) - Georg Fasching & Sam Kiani;7;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Prefect Community;Digital PyCon Sprint;6;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Philadelphia Robotic Process Automation (RPA) Meetup Group;Reboot Your Skills;9;
20/04/2020;San-Francisco;Technology,business;9:00 AM;IT talk Wroclaw;DataArt Online Week;6;
20/04/2020;San-Francisco;Technology,business;9:00 AM;GDG Kandahar;Online: Introduction to Machine Learning;12;
20/04/2020;San-Francisco;Technology,business;9:00 AM;Learn Python NYC: Data Science, Data Analytics, Django;PYTHON PROGRAMMING DATA ANALYTICS Day 1/5 ($1800 Pay at Door);3;
20/04/2020;San-Francisco;Technology,business;10:00 AM;Lisk Center Utrecht: Blockchain Meetup;ONLINE Blockchain030 | Co-working Mondays;7;
20/04/2020;San-Francisco;Technology,business;10:00 AM;GDG Tiaret;Firebase Study Jam 2020;17;
20/04/2020;San-Francisco;Technology,business;10:00 AM;JavaScript and React for Beginners;JavaScript Immersive Bootcamp;4;
20/04/2020;San-Francisco;Technology,business;10:00 AM;SouthWest CMG - Performance Engineering & Capacity Planning;ONLINE: Southwest CMG – Performance & Cost Optimization;9;
20/04/2020;San-Francisco;Technology,business;10:00 AM;Python for Data Science and Machine Learning • Washington;Online Python for Data Science Immersive;14;
20/04/2020;San-Francisco;Technology,business;10:00 AM;Python for Data Science and Machine Learning • Washington;Online Python Immersive • Start a Career with Python (1 Week Course);11;
20/04/2020;San-Francisco;Technology,business;10:00 AM;Python for Data Science and Machine Learning • Chicago;Online Python Immersive • Start a Career with Python (1 Week Course);3;
20/04/2020;San-Francisco;Technology,business;10:00 AM;AWS Polska;AWSome Week 2020;66;
20/04/2020;San-Francisco;Technology,business;10:00 AM;Startup & Developer - IBM Israel;Online Workshop: Kubernetes, Docker, Containers for Beginners;28;
20/04/2020;San-Francisco;Technology,business;10:00 AM;North Texas Academy Promoting Lean-Agile Mindsets;Lean Agile Mindset in Times of Crisis 5of5;3;
20/04/2020;San-Francisco;Technology,business;10:00 AM;NYC Startup Community;Advice on Startup Funding and Accelerators;18;
20/04/2020;San-Francisco;Technology,business;11:00 AM;GDG-Damanhour;IWD - International Women's Day - WTM;4;
20/04/2020;San-Francisco;Technology,business;11:00 AM;Wien Legal Tech Meetup, FutureLaw;"Meet the Legal Techs of the Future-Law Digitale Initiative ""Corona""";22;
20/04/2020;San-Francisco;Technology,business;11:00 AM;GA Houston - Coding - Data - Design - Digital Marketing;ASK ME ANYTHING: A LIFE OF A UX DESIGNER;4;
20/04/2020;San-Francisco;Technology,business;11:00 AM;NASSCOM Pune Community Group;Accelerate the Pace of Enterprise Data Estate Modernization;4;
20/04/2020;San-Francisco;Technology,business;11:00 AM;Memphis Technology User Groups;Fighting It Together | Virtual Hackathon Kickoff;8;
20/04/2020;San-Francisco;Technology,business;11:15 AM;Microsoft Azure Public Sector Meet-Up;Learn How Azure NetApp Files Can Accelerate Your Company’s Move to the Cloud;15;
20/04/2020;San-Francisco;Technology,business;11:30 AM;Product School San Francisco;Product Management Live Chat by Product School CEO;5;
20/04/2020;San-Francisco;Technology,business;11:30 AM;Artificial Intelligence (AI) in Telecom;Generative Adversarial Networks - Online Only;33;
20/04/2020;San-Francisco;Technology,business;11:30 AM;Large Scale Scrum (LeSS) in NYC;2 more Certified Large Scale Scrum Basics (CLB) in April;18;
20/04/2020;San-Francisco;Technology,business;11:30 AM;Colorado Springs Blockchain;Why the world needs DeFi with Alex Batlin & CryptoMondays London;4;
20/04/2020;San-Francisco;Technology,business;11:30 AM;GDG Los Angeles;ONLINE: GDG Greater LA Community Lunch;6;
20/04/2020;San-Francisco;Technology,business;11:45 AM;Agile West Michigan;The West Michigan Agile Community Meet Up;50;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Permanent Beta;Workflowy | Show and Tell met Martijn Aslander;3;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Advanced KubeFlow Meetup (New York);[1 hr Free] PipelineAI, GPU, TPU, Spark, TensorFlow, Kubernetes, Kafka, Scikit;19;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Montreal Vue.js;009 - ORGA - Présentation du nouveau site vuemontreal.org;31;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Large Scale Scrum (LeSS) in NYC;Meet Dave Snowden;123;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Zero Knowledge Toronto;ZK-TOR 0x03 - At Home Edition - MPC-in-the-Head, another ZK approach;6;
20/04/2020;San-Francisco;Technology,business;12:00 PM;Microsoft Reactor Stockholm;[Online session] How to set up the Growth Engine for your Startup;4;
20/04/2020;San-Francisco;Technology,business;12:00 PM;SAMSUNG RESEARCH, DEV and INNOVATION;Software Engineer Hiring Event - Online Townhall Meeting;3;
20/04/2020;San-Francisco;Technology,business;12:30 PM;Agile People Management;The Learning Organisation;6;
20/04/2020;San-Francisco;Technology,business;12:30 PM;IBM Tech@Home MEA;Advanced Threat Intel & Proper Incident Qualification using AI;23;
20/04/2020;San-Francisco;Technology,business;12:30 PM;IBM Developer New York;[Online] How to Build Solutions that Fight Back;28;
20/04/2020;San-Francisco;Technology,business;12:30 PM;Melbourne Silicon Beach;Online Presentation | Trade Mark Registration, what is it & why should I bother?;26;
20/04/2020;San-Francisco;Technology,business;12:30 PM;CTOs in London;CTO's in London with Michael Anderson: Leading your Team Through this Crisis.;60;
